ANO;PROCESSO ;CONVENENTE;SIAFI/SICONV;CONVÊNIO;OFÍCIO DA AECI;ENTREGUE NO TCU
2015;72031.006760/2014-88;Município de Ituverava/SP;707457;1202/2009;Ofício nº 1141/2015/AECI/MTur;31/07/2015
2015;72031.001808/2014-61;PM de Piquete/SP;733117;0287/2010;Ofício nº 1142/2015/AECI/MTur;31/07/2015
2015;72031.000215/2014-88;Instituto Paidéia de Expressão e Comunicação/DF;738801;880/2010;Ofício nº 1143/2015/AECI/MTur;31/07/2015
2015;72031.004139/2014-80;PM de Careiro/AM;727152;1821/2009;Ofício nº 1144/2015/AECI/MTur;31/07/2015
2015;72031.002998/2014-34;Prefeitura Municipal de Tavares;703446;0263/2009;Ofício nº 1145/2015/AECI/MTur;31/07/2015
2015;72031.003648/2014-95;Instituto Educar e Crescer - IEC/DF;632057;1156/2008;Ofício nº 1146/2015/AECI/MTur;31/07/2015
2015;72031.002007/2014-13;Associação dos Amigos da Educação e Cultura do Norte do Paraná;732967;0277/2010;Ofício nº 1147/2015/AECI/MTur;31/07/2015
2015;72031.004781/2014-69;PM de Porto Calvo/AL;721981;1595/2009;Ofício nº 1148/2015/AECI/MTur;31/07/2015
2015;72031.006366/2014-40;Empresa Brasiliense de Turismo - Brasíliatur;620567;0964/2007;Ofício nº 1149/2015/AECI/MTur;31/07/2015
2015;72031.003044/2014-49;Município de Tupaciguara/MG;719459;1465/2009;Ofício nº 1150/2015/AECI/MTur;31/07/2015
2015;72031.003647/2014-41;PM de São Domingos do Prata/MG;586534;588/2006;Ofício nº 1151/2015/AECI/MTur;31/07/2015
2015;72031.004138/2014-35;PM de Frei Inocêncio/MG;704327;0793/2009;Ofício nº 1152/2015/AECI/MTur;31/07/2015
2015;72031.000260/2014-32;PM de Campina Grande/PB;724796;1790/2009;Ofício nº 1153/2015/AECI/MTur;31/07/2015
2015;72031.004707/2014-42;PM de Piaçabuçu/AL;742119;01248/2010;Ofício nº 1154/2015/AECI/MTur;31/07/2015
2015;72031.004098/2014-21;Instituto Educar e Crescer - IEC/DF;705085;1062/2009;Ofício nº 1155/2015/AECI/MTur;31/07/2015
2015;72031.006951/2014-40;Instituto Educar e Crescer - IEC;705097;1090/2009;Ofício nº 1156/2015/AECI/MTur;31/07/2015
2015;72031.006752/2014-31;Associação do Desenvolvimento Comunitário e dos Pequenos Produtores Rurais de Gurinhatã - ADCPPRG/MG;729126;1908/2009;Ofício nº 1157/2015/AECI/MTur;31/07/2015
2015;72031.002992/2014-67;PM de Tanguá/RJ;732416;0168/2010;Ofício nº 1158/2015/AECI/MTur;31/07/2015
2015;72031.006917/2014-75;PM de Jaguaraçu/MG;703534;330/2009;Ofício nº 1160/2015/AECI/MTur;31/07/2015
2015;72031.006759/2014-53;PM de Central de Minas/MG;705310;1099/2009;Ofício nº 1161/2015/AECI/MTur;31/07/2015
2015;72031.006916/2014-21;Instituto de Pesquisa e Ação Modular - IPAM/DF;704496;858/2009;Ofício nº 1162/2015/AECI/MTur;31/07/2015
2015;72031.006341/2014-46;PM de Livramento/PB;703723;0478/2009;Ofício nº 1163/2015/AECI/MTur;31/07/2015
2015;72031.003646/2014-04;Município de Córrego Novo/MG;700884;1350/2008;Ofício nº 1164/2015/AECI/MTur;31/07/2015
2015;72031.006924/2014-77;Município de Orós/CE;629139;0499/2008;Ofício nº 1165/2015/AECI/MTur;31/07/2015
2015;72031.006855/2014-00;Município de Aiuaba/CE;703038;0081/2009;Ofício nº 1166/2015/AECI/MTur;31/07/2015
2015;72031.004767/2014-65;Instituto Brasil de Arte, Esporte, Cultura e Lazer - INBRASIL;737450;0692/2010;Ofício nº 1167/2015/AECI/MTur;31/07/2015
2015;72031.006369/2014-83;Confederação Brasileira de Convention & Visitors Bureaux/DF;704095;0684/2009;Ofício nº 1168/2015/AECI/MTur;31/07/2015
2015;72031.000216/2014-22;PM de Boqueirão/PB;629497;600/2008;Ofício nº 1169/2015/AECI/MTur;31/07/2015
2015;72031.006348/2014-68;PM de Wenceslau Guimarães/BA;703599;0378/2010;Ofício nº 1170/2015/AECI/MTur;31/07/2015
2015;72031.001807/2014-17;PM de Riacho das Almas/PE;704916;1030/2009;Ofício nº 1171/2015/AECI/MTur;31/07/2015
2015;72031.006345/2014-24;PM de Água Branca/AL;704300;0781/2009;Ofício nº 1172/2015/AECI/MTur;31/07/2015
2015;72031.006298/2014-19;PM de Brejo da Madre de Deus/PE;717490;1396/2009;Ofício nº 1173/2015/AECI/MTur;31/07/2015
2015;72031.006363/2014-14;PM de Lourenço do Sul/RS;731918;012/2010;Ofício nº 1173/2015/AECI/MTur;31/07/2015
2015;72031.004783/2014-58;Associação do Núcleo da Mulher/BA;723601;004/2009;Ofício nº 1174/2015/AECI/MTur;31/07/2015
2015;72031.006368/2014-39;PM de Itabirinha/MG;625907;0216/2008;Ofício nº 1175/2015/AECI/MTur;31/07/2015
2015;72031.005398/2014-28;PM de Uauá/BA;703618;0400/2009;Ofício nº 1176/2015/AECI/MTur;31/07/2015
2015;72031.006275/2014-12;Goiás Turismo - Agência Goiana de Turismo/GO;702561;1538/2008;Ofício nº 1177/2015/AECI/MTur;31/07/2015
2015;72031.006921/2014-33;PM de Lagoa Santa/GO;703765;509/2009;Ofício nº 1178/2015/AECI/MTur;31/07/2015
2015;72031.003802/2014-29;PM de Barreirinha/AM;736119;0520/2010;Ofício nº 1179/2015/AECI/MTur;31/07/2015
2015;72031.006255/2014-33;PM  de Silvânia/GO;704544;0887/2010;Ofício nº 1180/2015/AECI/MTur;31/07/2015
2015;72031.006919/2014-64;PM de Piracanjuba/GO;709142;01273/2009;Ofício nº 1181/2015/AECI/MTur;31/07/2015
2015;72031.003797/2014-54;Prefeitura Municipal de São Gonçalo do Amarante;446791;0419/2001;Ofício nº 1182/2015/AECI/MTur;31/07/2015
2015;72031.006757/2014-64;Prefeitura Municipal de Virgolândia;625887;0318/2008;Ofício nº 1183/2015/AECI/MTur;31/07/2015
2015;72031.005082/2012-74;Prefeitura Municipal de Sorriso;620043;0720/2007;Ofício nº 1184/2015/AECI/MTur;31/07/2015
2015;72031.005441/2014-55;Prefeitura Municipal de Fazenda Rio Grande;737606;0768/2010;Ofício nº 1185/2015/AECI/MTur;31/07/2015
2015;72031.006323/2014-64;Prefeitura Municipal de Itaú;719192;1458/2009;Ofício nº 1186/2015/AECI/MTur;31/07/2015
2015;72031.005275/2014-97;Empresa Brasiliense de Turismo - Brasíliatur/DF;599909;0744/2007;Ofício nº 1187/2015/AECI/MTur;31/07/2015
2015;72031.000259/2014-16;Federação Brasileira de Convention & Visitors Bureaux;622363;0950/2007;Ofício nº 1188/2015/AECI/MTur;31/07/2015
2015;72031.001255/2014-47;Instituto Comunidade Participativa - ICP;736292;0560/2010;Ofício nº 1189/2015/AECI/MTur;31/07/2015
2015;72031.003649/2014-30;Instituto Educar e Crescer;704786;0972/2009;Ofício nº 1190/2015/AECI/MTur;31/07/2015
2015;72031.000080/2014-51;Prefeitura Municipal de Tamboril;723189;1690/2009;Ofício nº 1191/2015/AECI/MTur;31/07/2015
2015;72031.003051/2014-41;Prefeitura Municipal de Mogeiro;628561;0227/2008;Ofício nº 1192/2015/AECI/MTur;31/07/2015
2015;72031.006321/2014-75;Prefeitura Municipal de Rio Casca;721995;1603/2009;Ofício nº 1193/2015/AECI/MTur;31/07/2015
2015;72031.006359/2014-48;Prefeitura Municipal de Muribeca;703928;0607/2009;Ofício nº 1194/2015/AECI/MTur;31/07/2015
2015;72031.006758/2014-17;Prefeitura Municipal de São Bento;701168;1398/2008;Ofício nº 1195/2015/AECI/MTur;31/07/2015
2015;72031.003798/2014-07;Instituto Brasileiro de Desenvolvimento Institucional ;733968;0363/2010;Ofício nº 1196/2015/AECI/MTur;31/07/2015
2015;72031.005433/2014-17;PROJEMAXI - Projetos, Eventos e Desenvolvimento;"732399/
732171732399/
732171732399/
732171732399/
732171732399/
732171732399/
732171732399/
732171732399/
732171732399/
732171732399/
732171732399/
732171732399/
732171732399/
732171732399/
732171732399/
732171732399/
732171732399/
732171732399/
732171732399/
732171732399/
732171732399/
732171";"0165/2010
0115/20100165/2010
0115/20100165/2010
0115/20100165/2010
0115/20100165/2010
0115/20100165/2010
0115/20100165/2010
0115/20100165/2010
0115/20100165/2010
0115/20100165/2010
0115/20100165/2010
0115/20100165/2010
0115/20100165/2010
0115/20100165/2010
0115/20100165/2010
0115/20100165/2010
0115/20100165/2010
0115/20100165/2010
0115/20100165/2010
0115/20100165/2010
0115/20100165/2010
0115/2010";Ofício nº 1197/2015/AECI/MTur;31/07/2015
2015;72031.006325/2014-53;Prefeitura Municipal de Paracuru;728337;1873/2009;Ofício nº 1198/2015/AECI/MTur;31/07/2015
2015;72031.006362/2014-61;Prefeitura Municipal de Iati;704715;0933/2009;Ofício nº 1199/2015/AECI/MTur;31/07/2015
2015;72031.006273/2014-15;Prefeitura Municipal de Mãe D'Água;704023;0642/2009;Ofício nº 1200/2015/AECI/MTur;31/07/2015
2015;72031.006756/2014-10;Prefeitura Municipal de Pirapozinho;703877;0596/2009;Ofício nº 1201/2015/AECI/MTur;31/07/2015
2015;72031.006914/2014-31;Prefeitura Municipal de Sousa;740402;1045/2010;Ofício nº 1202/2015/AECI/MTur;31/07/2015
2015;72031.001300/2014-63;Prefeitura Municipal de Vila Boa;727172;1823/2009;Ofício nº 1203/2015/AECI/MTur;31/07/2015
2015;72031.006370/2014-16;Secretaria de Estado de Desenvolvimento do Turismo de Mato Grosso/MT;703606;0384/2009;Ofício nº 1204/2015/AECI/MTur;31/07/2015
2015;72031.006923/2014-22;PM de Catingueira/PB;592949;263/2007;Ofício nº 1205/2015/AECI/MTur;31/07/2015
2015;72031.006300/2014-50;Instituto Educar e Crescer;703293;0196/2009;Ofício nº 1206/2015/AECI/MTur;31/07/2015
2015;72031.006252/2014-08;Empresa de Turismo da Bahia S.A. - BAHIATUR SA;740839;1109/2010;Ofício nº 1207/2015/AECI/MTur;31/07/2015
2015;72031.005295/2014-68;Prefeitura Municipal de Santo Anastácio ;708671;1250/2009;Ofício nº 1208/2015/AECI/MTur;31/07/2015
2015;72031.000096/2014-63;Prefeitura Municipal de Quijingue;723139;1670/2009;Ofício nº 1209/2015/AECI/MTur;31/07/2015
2015;72031.005475/2014-40;Prefeitura Municipal de Itaporanga/SC;732043;631/2010 ;Ofício nº 767/2015/AECI/MTur;30/06/2015
2015;72031.005438/2014-31;Prefeitura Municipal  de Diogo de Vasconcelos/MG;704661;922/2009;Ofício nº 768/2015/AECI/MTur;30/06/2015
2015;72031.003139/2014-62 ;Associação de Cultura e Turismo de Gramado – ACTG/RS;594613;413/2007;Ofício nº 769/2015/AECI/MTur;30/06/2015
2015;72031.000095/2014-19;Associação da Parada do Orgulho de Gays, Lésbicas, Bissexuais e Transgêneros de São Paulo;736670;618/2010;Ofício nº 770/2015/AECI/MTur;30/06/2015
2015;72031.000084/2014-39;Feira Nacional do Milho;592054;044/2007;Ofício nº 771/2015/AECI/MTur;30/06/2015
2015;72031.003795/2014-65;Associação de Rodeio Completo de Taciba – Os Tropeiros/SP;703402;249/2009;Ofício nº 772/2015/AECI/MTur;30/06/2015
2015;72031.001831/2014-56;Prefeitura Municipal de Porto Nacional/TO;633212;1040/2008;Ofício nº 774/2015/AECI/MTur;30/06/2015
2015;72031.005474/2014-03;Secretaria de Estado de Desenvolvimento do Turismo de Mato Grosso – SEDTUR/MT;702217;1555/2008;Ofício nº 775/2015/AECI/MTur;30/06/2015
2015;72031.004709/2014-31;Prefeitura Municipal  de Uruaçu/GO;703756;503/2009;Ofício nº 776/2015/AECI/MTur;30/06/2015
2015;72031.006340/2014-00 ;Prefeitura Municipal  de Uruaçu/GO;724724;1780/2009;Ofício nº 777/2015/AECI/MTur;30/06/2015
2015;72031.005272/2014-53;Prefeitura Municipal de Poloni/SP;707698;1212/2009;Ofício nº 779/2015/AECI/MTur;30/06/2015
2015;72031.000339/2014-63;Prefeitura Municipal  de Itabirinha/MG;618957;1008/2007;Ofício nº 780/2015/AECI/MTur;30/06/2015
2015;72031.000515/2014-67;Instituto Mineiro de Desenvolvimento de Cidadania – IMDC/MG;700990;1297/2008;Ofício nº 781/2015/AECI/MTur;30/06/2015
2015;72031.002948/2014-57;Prefeitura Municipal  de Santa Helena de Minas/MG;760401;374/2011;Ofício nº 782/2015/AECI/MTur;30/06/2015
2015;72031.005442/2014-08;Prefeitura Municipal  de São João do Manteninha/MG;763454;449/2011;Ofício nº 783/2015/AECI/MTur;30/06/2015
2015;72031.005442/2014-08;Prefeitura Municipal  de São João do Manteninha/MG;701141;1384/2008;Ofício nº 783/2015/AECI/MTur;30/06/2015
2015;72031.006262/2014-35;Prefeitura Municipal de Embaúba/SP;724789;1777/2009;Ofício nº 784/2015/AECI/MTur;30/06/2015
2015;72031.005392/2014-51;Prefeitura Municipal  de Ubaporanga/MG;732643;209/2010;Ofício nº 785/2015/AECI/MTur;30/06/2015
2015;72031.008346/2012-41;PM de São Felix de Minas/MG;704093;688/2009;Ofício nº 787/2015/AECI/MTur;30/06/2015
2015;72031.014074/2010-57;Prefeitura Municipal de São José da Safira/MG;629843;332/2008;Ofício nº 788/2015/AECI/MTur;30/06/2015
2015;72031.004768/2014-18;Prefeitura Municipal  de Tavares/PB;627942;234/2008;Ofício nº 789/2015/AECI/MTur;30/06/2015
2015;72031.000502/2014-98;Prefeitura Municipal  de Boqueirão/PB;700053;1214/2009;Ofício nº 790/2015/AECI/MTur;30/06/2015
2015;72031.001929/2014-11;Prefeitura Municipal  de Piancó/PB;564292;134/2006;Ofício nº 792/2015/AECI/MTur;30/06/2015
2015;72031.003106/2014-12;Associação para o Desenvolvimento Imobiliário e Turístico do Brasil - ADIT-Nordeste/AL ;732282;118/2010;Ofício nº 793/2015/AECI/MTur;30/06/2015
2015;72031.001185/2014-27;Premium Avança Brasil/GO;704124;706/2009;Ofício nº 794/2015/AECI/MTur;30/06/2015
2015;72031.001185/2014-27;Premium Avança Brasil/GO;704055;660/2009;Ofício nº 794/2015/AECI/MTur;30/06/2015
2015;72031.001185/2014-27;Premium Avança Brasil/GO;704009;629/2009;Ofício nº 794/2015/AECI/MTur;30/06/2015
2015;72031.001185/2014-27;Premium Avança Brasil/GO;704195;745/2009;Ofício nº 794/2015/AECI/MTur;30/06/2015
2015;72031.001185/2014-27;Premium Avança Brasil/GO;703217;144/2009;Ofício nº 794/2015/AECI/MTur;30/06/2015
2015;72031.005397/2014-83;Prefeitura Municipal  de Rubiácea/SP;704512;873/2009;Ofício nº 795/2015/AECI/MTur;30/06/2015
2015;72031.005399/2014-72;Prefeitura Municipal de Paraiso do Tocantins/TO;732639;205/2010;Ofício nº 796/2015/AECI/MTur;30/06/2015
2015;72031.006322/2014-10 ;Prefeitura Municipal de Teixeira/PB;629921;722/2008;Ofício nº 798/2015/AECI/MTur;30/06/2015
2015;72031.003108/2014-10;Prefeitura Municipal de Pau D’arco/TO;635820;867/2008;Ofício nº 799/2015/AECI/MTur;30/06/2015
2015;72031.001834/2014-90 ;PM de Itabirinha do Mantena/MG;593676;341/2007;Ofício nº 800/2014/AECI/MTur;30/06/2015
2015;72031.001834/2014-90 ;PM de Itabirinha do Mantena/MG;619523;931/2007;Ofício nº 800/2015/AECI/MTur;30/06/2015
2015;72031.001869/2014-29;Prefeitura Municipal  de Orobó/PE;629749;800/2008;Ofício nº 801/2015/AECI/MTur;30/06/2015
2015;72031.005434/2014-53;Prefeitura Municipal de Lagoa de Dentro/PB;741708;1179/2010;Ofício nº 802/2015/AECI/MTur;30/06/2015
2015;72031.005276/2014-31;Prefeitura Municipal de Floreal/SP;704495;855/2009;Ofício nº 803/2015/AECI/MTur;30/06/2015
2015;72031.004152/2014-39;Prefeitura Municipal de Água Branca/PB;703852;581/2009;Ofício nº 806/2015/AECI/MTur;30/06/2015
2015;72031.002993/2014-10;Arte e Vida Brasília/DF;742543;1296/2010;Ofício nº 807/2015/AECI/MTur;30/06/2015
2015;72031.000445/2014-47;Prefeitura Municipal de Santana do Acaraú/CE;704043;657/2009;Ofício nº 808/2015/AECI/MTur;30/06/2015
2015;72031.001870/2014-53;Fundação Cultural Museu Étnico do Nordeste – FUNET/PB;706522;1151/2009;Ofício nº 809/2015/AECI/MTur;30/06/2015
2015;72031.002996/2014-45;IEC – Instituto Educar e Crescer/DF;704853;999/2009;Ofício nº 810/2015/AECI/MTur;30/06/2015
2015;72031.003803/2014-73;Prefeitura Municipal  de Bela Cruz/CE;706858;1175/2009;Ofício nº 811/2015/AECI/MTur;30/06/2015
2015;72031.000112/2014-18;Prefeitura Municipal  de Viçosa/AL;724734;1781/2009;Ofício nº 812/2015/AECI/MTur;30/06/2015
2015;00190.028167/2014-59;Prefeitura Municipal de Pesqueira/PE;643013;Contrato de Repasse nº 275.733-63/2008;Ofício nº 813/2015/AECI/MTur;30/06/2015
2015;72031.001248/2014-45;Prefeitura Municipal  de Coronel João de Sá/BA;704159;724/2009;Ofício nº 838/2015/AECI/MTur;30/06/2015
2015;72031.007303/2011-68;Núcleo de Produções Culturais – NUPROC;631738;324/2008;Ofício nº 840/2015/AECI/MTur;30/06/2015
2015;72031.001270/2014-95;PM de Mucugê/BA;737894;720/2010;Ofício nº 842/2015/AECI/MTur;30/06/2015
2015;72031.001039/2011-59;Prefeitura Municipal de Limoeiro do Norte/CE;737374;687/2010;Ofício nº 843/2015/AECI/MTur;30/06/2015
2015;72031.000111/2014-73;Prefeitura Municipal  de Barra de São Miguel/AL;729119;1909/2009;Ofício nº 845/2015/AECI/MTur;30/06/2015
2015;72031.004715/2014-99;Município de Rio de Manso/MG;704548;889/2009;Ofício nº 860/2015/AECI/MTur;30/06/2015
2015;72031.003050/2014-04;Município de Mira de Estrela/SP;708818;1252/2009;Ofício nº 861/2015/AECI/MTur;30/06/2015
2015;72031.006925/2014-11;Município de Catuti/MG;703390;239/2009;Ofício nº 862/2015/AECI/MTur;30/06/2015
2015;72031.006347/2014-13;Associação Brasileira das Empresas de Transporte Aéreo Regional – Abetar/SP;635898;1287/2008;Ofício nº 863/2015/AECI/MTur;30/06/2015
2015;72031.004726/2014-79;Prefeitura Municipal de Novo Oriente/CE;703787;524/2009;Ofício nº 864/2015/AECI/MTur;30/06/2015
2015;72031.006300/2010-26;Município de Tomar de Geru/SE;629913;240/2008;Ofício nº 865/2015/AECI/MTur;30/06/2015
2015;72031.006922/2014-88;Associação de Poetas Repentistas do Alto Oeste Riograndense – APRAOR/RN;703528;322/2009;Ofício nº 867/2015/AECI/MTur;30/06/2015
2015;72031.001444/2014-10;Município de Tarumirim/MG;727472;712/2010;Ofício nº 868/2015/AECI/MTur;30/06/2015
2015;72031.005476/2014-94;Prefeitura Municipal de Pesqueira/PE;703614;394/2009;Ofício nº 869/2015/AECI/MTur;30/06/2015
2015;72031.006694/2014-46;Município de Tamandaré/PE;762957;426/2011;Ofício nº 870/2015/AECI/MTur;30/06/2015
2015;72031.006339/2014-77;Município de Emas/PB;739359;960/2010;Ofício nº 871/2015/AECI/MTur;30/06/2015
2015;72031.006881/2014-20;Município de Campo Alegre de Goiás/GO ;704295;775/2009;Ofício nº 872/2015/AECI/MTur;30/06/2015
2015;72031.006324/2014-17;Fundação Delmiro Gouveia/AL;750960;1526/2010;Ofício nº 874/2015/AECI/MTur;30/06/2015
2015;72031.006372/2014-05;Município de São Lourenço do Sul/RS;701712;1448/2008;Ofício nº 875/2015/AECI/MTur;30/06/2015
2015;72031.003801/2014-84;Município de Diamantina/MG;728589;1887/2009;Ofício nº 876/2015/AECI/MTur;30/06/2015
2015;72031.006854/2014-57;Município de Itacuruba/PE;732635;201/2010;Ofício nº 877/2015/AECI/MTur;30/06/2015
2015;72031.004135/2014-00;Município de Capitão Andrade/MG;705060;1067/2009;Ofício nº 878/2015/AECI/MTur;30/06/2015
2015;72031.004708/2014-97;Município de Penedo/AL;724849;1797/2009;Ofício nº 880/2015/AECI/MTur;30/06/2015
2015;72031.005439/2014-86;Município de Mirabela/MG;704609;903/2009;Ofício nº 881/2015/AECI/MTur;30/06/2015
2015;72031.000197/2012-72;Município de Triunfo/PE;629253;655/2005;Ofício nº 882/2015/AECI/MTur;30/06/2015
2015;72031.003061/2014-86;Município de Planalto/SP;732641;211/2010;Ofício nº 883/2015/AECI/MTur;30/06/2015
2015;72031.002003/2014-35;Município de Senador Georgino Avelino/RN;732936;263/2010;Ofício nº 884/2015/AECI/MTur;30/06/2015
2015;72031.000835/2014-17;Município de São João do Oriente/MG;737901;800/2010;Ofício nº 885/2015/AECI/MTur;30/06/2015
2015;72031.003796/2014-18;Instituto Terra Viva/MG;;;Ofício nº 886/2015/AECI/MTur;30/06/2015
2015;72031.005395/2014-94;Município de Pombos/PE;703838;567/2009;Ofício nº 887/2015/AECI/MTur;30/06/2015
2015;72031.004716/2014-33;Prefeitura Municipal de Goianinha/RN;634372;811/2008;Ofício nº 888/2015/AECI/MTur;30/06/2015
2015;72031.016518/2010-99;Prefeitura Municipal  de Santana de Pirapama/MG;707164;1188/2009;Ofício nº 889/2015/AECI/MTur;30/06/2015
2015;72031.006299/2014-63;Prefeitura Municipal de Icaraí de Minas/MG;764547; 458/2011;Ofício nº 890/2015/AECI/MTur;30/06/2015
2015;72031.006250/2014-19;Prefeitura Municipal de Cumaru/PE;764660;473/2011;Ofício nº 891/2015/AECI/MTur;30/06/2015
2015;72031.000100/2014-93;Prefeitura Municipal de Francisco Dumont/MG;723150;1677/2009;Ofício nº 892/2015/AECI/MTur;30/06/2015
2015;72031.006261/2014-91;Prefeitura Municipal de Santa Fé da Araguaia/TO;703914;603/2009;Ofício nº 894/2015/AECI/MTur;30/06/2015
2015;72031.000314/2011-17;Prefeitura Municipal de Marabá Paulista/SP;;;Ofício nº 895/2015/AECI/MTur;30/06/2015
2015;72031.011668/2011-97;Prefeitura Municipal de Inhaúma/MG;729084;1900/2009;Ofício nº 896/2015/AECI/MTur;30/06/2015
2015;72031.006459/2014-74;Município de Morro do Chapéu do Piauí /PI;740392;947/2010;Ofício nº 897/2015/AECI/MTur;30/06/2015
2015;72031.006459/2014-74;Município de Morro do Chapéu do Piauí /PI;755571;99/2011;Ofício nº 897/2015/AECI/MTur;30/06/2015
2015;72031.006360/2014-72;Município de Rio da Conceição/TO;632264;862/2008;Ofício nº 898/2015/AECI/MTur;30/06/2015
2015;72031.006320/2014-21;Município de Cáceres/MT;704194;744/2009;Ofício nº 899/2015/AECI/MTur;30/06/2015
2015;72031.006258/2014-77;Município de Porto das Pedras/AL;742110;1257/2010;Ofício nº 900/2015/AECI/MTur;30/06/2015
2015;72031.000830/2014-94;Associação dos Grupos de Folclore de Belém/PA;635565;314/2008;Ofício nº 901/2015/AECI/MTur;30/06/2015
2015;72031.006259/2014-11;Município de Vila Bela da Santíssima Trindade/MT;737998;811/2010;Ofício nº 902/2015/AECI/MTur;30/06/2015
2015;72031.005393/2014-03;Município de Urussanga/SC;735475;459/2010;Ofício nº 903/2015/AECI/MTur;30/06/2015
2015;72031.006952/2014-94;Município de Natividade/TO;704375;812/2012;Ofício nº 904/2015/AECI/MTur;30/06/2015
2015;72031.006251/2014-55;Município de Primavera/PE;759777;369/2011;Ofício nº 905/2015/AECI/MTur;30/06/2015
2015;72031.004771/2014-23;Município de Auaba/CE;735868;481/2010;Ofício nº 906/2015/AECI/MTur;30/06/2015
2015;72031.004097/2014-87;Fundação Cultural Assistencial Divino Espírito Espirito Santo – FUNCADIES/SC;703463;272/2009;Ofício nº 907/2015/AECI/MTur;30/06/2015
2015;72031.006297/2014-74;Município de Nova Aliança/SP;732605;185/2010;Ofício nº 908/2015/AECI/MTur;30/06/2015
2015;72031.005391/2014-14;Município de Rio dos Bois/TO;738813;904/2010;Ofício nº 909/2015/AECI/MTur;30/06/2015
2015;72031.000342/2014-87;Município de Echaporã/SP;704186;739/2009;Ofício nº 910/2015/AECI/MTur;30/06/2015
2015;72031.002004/2014-80;Município de Cedro/CE;706587;1156/2009;Ofício nº 912/2015/AECI/MTur;30/06/2015
2015;72031.006357/2014-59;Prefeitura Municipal de Divino das Laranjeiras/MG;736127;522/2010;Ofício nº 919/2015/AECI/MTur;30/06/2015
2015;72031.001892/2014-13;Prefeitura Municipal de Aricanduva/MG;703236;160/2009;Ofício nº 920/2015/AECI/MTur;30/06/2015
2015;72031.001891/2014-79;Prefeitura Municipal de Murici/AL;713264;1310/2009;Ofício nº 921/2015/AECI/MTur;30/06/2015
2015;72031.000085/2014-83;Prefeitura Municipal  de Promissão/SP;703450;806/2009;Ofício nº 922/2015/AECI/MTur;30/06/2015
2015;72031.004711/2014-19;Associação dos Municípios do Circuito Turístico Parque Nacional da Serra do Cipó/MG;627682;118/2008;Ofício nº 923/2015/AECI/MTur;30/06/2015
2015;72031.004133/2014-11;Prefeitura Municipal de Irapuã/SP;629046;852/2008;Ofício nº 804/2015/AECI/MTur;26/06/2015
2015;72031.004769/2014-54;Instituto Brasil de Arte, Esporte, Cultura e Lazer - Inbrasil/DF;739360;948/2010;Ofício nº 814/2015/AECI/MTur;26/06/2015
2015;72031.001441/2014-86;Prefeitura Municipal de Cardoso/SP;704128;693/2009;Ofício nº 815/2015/AECI/MTur;26/06/2015
2015;72031.013852/2010-91;Associação Brasileira de Agências de Viagens do Ceará;702822;1.670/2008;Ofício nº 816/2015/AECI/MTur;26/06/2015
2015;72031.002997/2014-90;Prefeitura Municipal de Água Branca/PI;718059;1.416/2009;Ofício nº 817/2015/AECI/MTur;26/06/2015
2015;72031.007278/2012-01;Prefeitura Municipal de Tacaimbó/PE;700776;1.339/2008;Ofício nº 818/2015/AECI/MTur;26/06/2015
2015;72031.003049/2014-71;Prefeitura Municipal de Missão Velha/CE;704537;880/2009;Ofício nº 819/2015/AECI/MTur;26/06/2015
2015;72031.001890/2014-24;Prefeitura Municipal de Passa e Fica/RN;629879;847/2008;Ofício nº 820/2015/AECI/MTur;26/06/2015
2015;72031.000351/2014-78;Prefeitura Municipal de Miguel/RN;740000;1011/2010;Ofício nº 821/2015/AECI/MTur;26/06/2015
2015;72031.002947/2014-11;Prefeitura Municipal de Caratinga/MG;703760;501/2009;Ofício nº 822/2015/AECI/MTur;26/06/2015
2015;72031.005293/2014-79;Prefeitura Municipal de Itabirinha/MG;704062;664/2009;Ofício nº 823/2015/AECI/MTur;26/06/2015
2015;72031.000833/2014-28;Confederação Brasileira de Convention & Visitors Bureaux/DF;702982;30/2009;Ofício nº 824/2015/AECI/MTur;26/06/2015
2015;72031.003634/2014-71;Prefeitura Municipal de Diamante do Norte/PR;701582;1434/2008;Ofício nº 825/2015/AECI/MTur;26/06/2015
2015;72031.003634/2014-71;Prefeitura Municipal de Diamante do Norte/PR;718486;1429/2009;Ofício nº 825/2015/AECI/MTur;26/06/2015
2015;72031.003105/2014-78;Prefeitura Municipal de Manacapuru/AM;704087;681/2009;Ofício nº 826/2015/AECI/MTur;26/06/2015
2015;72031.003631/2014-38;Instituto Educar e Crescer - IEC/DF;705070;1063/2009;Ofício nº 827/2015/AECI/MTur;26/06/2015
2015;72031.003632/2014-82 ;Instituto Educar e Crescer - IEC/DF;703335;221/2009;Ofício nº 828/2015/AECI/MTur;26/06/2015
2015;72031.000503/2014-32;Confederação Brasileira de Convention & Visitors Bureaux/DF;704848;996/2009;Ofício nº 829/2015/AECI/MTur;26/06/2015
2015;72031.006253/2014/44;Prefeitura Municipal de Alto Piquiri/PR;704811;977/2009;Ofício nº 830/2015/AECI/MTur;26/06/2015
2015;72031.003001/2014-63;Prefeitura Municipal de Pombos/PE;703810;543/20009;Ofício nº 831/2015/AECI/MTur;26/06/2015
