Agente Financeiro;CPF/CNPJ do Contratante;Nome / Razão Social;UF;Município; Valor Contratado ;Data Início do Contrato;Data Fim do Contrato;Prazo (Meses);Carência (Meses);Spread Bancário;Fin. Taxa de Atualização Monetária;Finalidade do Financiamento;Atividade Turística;Porte da Empresa;CNAE;Descrição CNAE
BANCO MONEO S.A.;34805903000161;AMATUR AMAZONIA TURISMO LTDA;RR;BOA VISTA; R$ 567.000,00 ;05/01/2026;21/12/2029;48;;5;INPC;BEM;TRANSPORTADORA TURÍSTICA;GRANDE_EMPRESA;4923002;SERVIÇO DE TRANSPORTE DE PASSAGEIROS - LOCAÇÃO DE AUTOMÓVEIS COM MOTORISTA
BANCO DE DESENVOLVIMENTO DE MINAS GERAIS S.A. - BDMG;38594485000161;GUILHERME AUGUSTO DA SILVA LTDA ME;MG;UBERABA; R$ 81.874,00 ;23/01/2026;15/01/2030;48;;5;INPC;CAPITAL GIRO;TRANSPORTADORA TURÍSTICA;MICROEMPRESA;4929901;TRANSPORTE RODOVIÁRIO COLETIVO DE PASSAGEIROS, SOB REGIME DE FRETAMENTO, MUNICIPAL
BANCO DE DESENVOLVIMENTO DO ESPIRITO SANTO S/A;31829953000190;JETITUR TRANSPORTES LTDA;ES;SANTA MARIA DE JETIBÁ; R$ 100.000,00 ;22/01/2026;22/01/2031;60;12;5;INPC;CAPITAL GIRO;TRANSPORTADORA TURÍSTICA;PEQUENA_EMPRESA;4929901;TRANSPORTE RODOVIÁRIO COLETIVO DE PASSAGEIROS, SOB REGIME DE FRETAMENTO, MUNICIPAL
BANCO MONEO S.A.;3826811000134;SUAN TRANSPORTES LTDA;SC;JOINVILLE; R$ 743.900,00 ;23/01/2026;21/01/2031;60;;5;INPC;BEM;TRANSPORTADORA TURÍSTICA;GRANDE_EMPRESA;4929901;TRANSPORTE RODOVIÁRIO COLETIVO DE PASSAGEIROS, SOB REGIME DE FRETAMENTO, MUNICIPAL
BANCO MONEO S.A.;1212764000103;CADATUR TRANSPORTES E TURISMO LTDA.;SP;ITU; R$ 596.000,00 ;09/02/2026;21/02/2031;60;6;5;INPC;BEM;TRANSPORTADORA TURÍSTICA;MEDIA_EMPRESA;4929901;TRANSPORTE RODOVIÁRIO COLETIVO DE PASSAGEIROS, SOB REGIME DE FRETAMENTO, MUNICIPAL
COOPERATIVA CENTRAL DE CREDITO COM INTERACAO SOLIDARIA - CENTRAL CRESOL BASER;17332326000119;UNITUR TRANSPORTES LTDA;PR;SÃO JORGE D'OESTE; R$ 420.000,00 ;27/01/2026;15/04/2031;60;2;5;INPC;CAPITAL GIRO;TRANSPORTADORA TURÍSTICA;PEQUENA_EMPRESA;4929901;TRANSPORTE RODOVIÁRIO COLETIVO DE PASSAGEIROS, SOB REGIME DE FRETAMENTO, MUNICIPAL
CRESOL SICOPER - CENTRAL CRESOL SICOPER;8484413000109;RICARDO RAFAEL RENZ BUENO;RS;AUGUSTO PESTANA; R$ 65.000,00 ;23/01/2026;15/05/2031;60;4;5;INPC;CAPITAL GIRO;TRANSPORTADORA TURÍSTICA;PEQUENA_EMPRESA;4929901;TRANSPORTE RODOVIÁRIO COLETIVO DE PASSAGEIROS, SOB REGIME DE FRETAMENTO, MUNICIPAL
CRESOL SICOPER - CENTRAL CRESOL SICOPER;9331895000111;AMP TRANSPORTES E TURISMO LTDA;RS;CACIQUE DOBLE; R$ 160.000,00 ;30/01/2026;15/02/2036;117;3;5;INPC;CAPITAL GIRO;TRANSPORTADORA TURÍSTICA;PEQUENA_EMPRESA;4929901;TRANSPORTE RODOVIÁRIO COLETIVO DE PASSAGEIROS, SOB REGIME DE FRETAMENTO, MUNICIPAL
BANCO MONEO S.A.;10177310000130;SOUZA PINTO TRANSPORTE DE PASSAGEIROS E SERVICOS LTDA;MG;RIBEIRÃO DAS NEVES; R$ 950.000,00 ;05/01/2026;21/01/2031;60;6;5;INPC;BEM;TRANSPORTADORA TURÍSTICA;MICROEMPRESA;4929902;TRANSPORTE RODOVIÁRIO COLETIVO DE PASSAGEIROS, SOB REGIME DE FRETAMENTO, INTERMUNICIPAL, INTERESTADUAL E INTERNACIONAL
BANCO MONEO S.A.;93045193000188;EXPRESSO ENCANTADO LTDA;RS;ENCANTADO; R$ 520.000,00 ;05/01/2026;23/12/2030;60;;5;INPC;BEM;TRANSPORTADORA TURÍSTICA;PEQUENA_EMPRESA;4929902;TRANSPORTE RODOVIÁRIO COLETIVO DE PASSAGEIROS, SOB REGIME DE FRETAMENTO, INTERMUNICIPAL, INTERESTADUAL E INTERNACIONAL
