Agente Financeiro;CPF/CNPJ do Contratante;Nome / Razão Social;UF;Município; Valor Contratado ;Data Início do Contrato;Data Fim do Contrato;Prazo (Meses);Carência (Meses);Spread Bancário;Fin. Taxa de Atualização Monetária;Finalidade do Financiamento;Atividade Turística;Porte da Empresa;CNAE;Descrição CNAE
BANCO DE DESENVOLVIMENTO DE MINAS GERAIS S.A. - BDMG;37561598000106;ESPETOS E PORCOES DUARTE LTDA;MG;UBERLÂNDIA; R$ 10.940,00 ;14/01/2026;09/01/2030;48;;5;INPC;CAPITAL GIRO;RESTAURANTE, CAFETERIA, BAR E SIMILARES;PEQUENA_EMPRESA;5611201;RESTAURANTES E SIMILARES
BANCO DE DESENVOLVIMENTO DE MINAS GERAIS S.A. - BDMG;17195070000145;ANDRE GAMA SILVEIRA;MG;ITAJUBÁ; R$ 89.840,00 ;29/01/2026;23/01/2030;48;;5;INPC;CAPITAL GIRO;RESTAURANTE, CAFETERIA, BAR E SIMILARES;MICROEMPRESA;5611201;RESTAURANTES E SIMILARES
BANCO DE DESENVOLVIMENTO DE MINAS GERAIS S.A. - BDMG;11505366000139;EDVALDO DA SILVA - CPF 065.753.046-80 - EPP;BA;SANTA BÁRBARA; R$ 94.298,00 ;26/01/2026;21/01/2030;48;;5;INPC;CAPITAL GIRO;RESTAURANTE, CAFETERIA, BAR E SIMILARES;PEQUENA_EMPRESA;5611201;RESTAURANTES E SIMILARES
BANCO DE DESENVOLVIMENTO DE MINAS GERAIS S.A. - BDMG;27105834000118;ESTER FERRAREZ MOREIRA 91781752753 - ME;MG;IBIAÍ; R$ 13.000,00 ;28/01/2026;10/01/2030;48;;5;INPC;CAPITAL GIRO;RESTAURANTE, CAFETERIA, BAR E SIMILARES;MICROEMPRESA;5611201;RESTAURANTES E SIMILARES
BANCO DE DESENVOLVIMENTO DE MINAS GERAIS S.A. - BDMG;11922547000160;KI-DELICIA LANCHES LTDA -ME;MG;CARATINGA; R$ 106.150,00 ;20/01/2026;15/01/2030;48;;5;INPC;CAPITAL GIRO;RESTAURANTE, CAFETERIA, BAR E SIMILARES;PEQUENA_EMPRESA;5611201;RESTAURANTES E SIMILARES
BANCO DE DESENVOLVIMENTO DE MINAS GERAIS S.A. - BDMG;24501034000128;M. ANTONIO ALVES - ME;MG;ARAXÁ; R$ 105.612,00 ;20/01/2026;09/01/2030;48;;5;INPC;CAPITAL GIRO;RESTAURANTE, CAFETERIA, BAR E SIMILARES;PEQUENA_EMPRESA;5611201;RESTAURANTES E SIMILARES
BANCO DE DESENVOLVIMENTO DO ESPIRITO SANTO S/A;27510070000146;LANCHONETE CHATEAU LTDA;ES;VITÓRIA; R$ 155.000,00 ;22/01/2026;22/01/2032;72;12;5;INPC;CAPITAL GIRO;RESTAURANTE, CAFETERIA, BAR E SIMILARES;PEQUENA_EMPRESA;5611201;RESTAURANTES E SIMILARES
COOPERATIVA CENTRAL DE CREDITO COM INTERACAO SOLIDARIA - CENTRAL CRESOL BASER;81167660000163;SOUZA E SOUZA PADARIA LTDA;PR;REBOUÇAS; R$ 479.177,35 ;29/01/2026;15/06/2032;72;4;5;INPC;CAPITAL GIRO;RESTAURANTE, CAFETERIA, BAR E SIMILARES;PEQUENA_EMPRESA;5611201;RESTAURANTES E SIMILARES
COOPERATIVA CENTRAL DE CREDITO COM INTERACAO SOLIDARIA - CENTRAL CRESOL BASER;21367451000131;LANGARO MARCON & CIA LTDA;PR;PATO BRANCO; R$ 100.000,00 ;29/01/2026;15/02/2031;60;;5;INPC;CAPITAL GIRO;RESTAURANTE, CAFETERIA, BAR E SIMILARES;PEQUENA_EMPRESA;5611201;RESTAURANTES E SIMILARES
COOPERATIVA CENTRAL DE CREDITO COM INTERACAO SOLIDARIA - CENTRAL CRESOL BASER;2375805000145;RESTAURANTE SANIH LTDA;PR;IVAIPORÃ; R$ 450.000,00 ;20/01/2026;15/02/2031;60;;5;INPC;CAPITAL GIRO;RESTAURANTE, CAFETERIA, BAR E SIMILARES;MICROEMPRESA;5611201;RESTAURANTES E SIMILARES
COOPERATIVA CENTRAL DE CREDITO COM INTERACAO SOLIDARIA - CENTRAL CRESOL BASER;14991096000101;ACRISIO DA SILVA ROCHA JUNIOR;MG;SERRA DO SALITRE; R$ 100.840,00 ;12/01/2026;15/05/2031;60;4;5;INPC;CAPITAL GIRO;RESTAURANTE, CAFETERIA, BAR E SIMILARES;PEQUENA_EMPRESA;5611201;RESTAURANTES E SIMILARES
CRESOL SICOPER - CENTRAL CRESOL SICOPER;55645866000141;ARMAZEM GOURMET LTDA;RS;MACHADINHO; R$ 100.000,00 ;12/01/2026;15/01/2036;120;;5;INPC;CAPITAL GIRO;RESTAURANTE, CAFETERIA, BAR E SIMILARES;PEQUENA_EMPRESA;5611201;RESTAURANTES E SIMILARES
CRESOL SICOPER - CENTRAL CRESOL SICOPER;58390429000112;58.390.429 LETICIA TIBOLA;RS;CASCA; R$ 100.000,00 ;30/01/2026;15/02/2036;120;;5;INPC;CAPITAL GIRO;RESTAURANTE, CAFETERIA, BAR E SIMILARES;MICROEMPRESA;5611201;RESTAURANTES E SIMILARES
CRESOL SICOPER - CENTRAL CRESOL SICOPER;62588627000162;GABRIEL MONTAGNER;RS;SÃO JOSÉ DO OURO; R$ 100.000,00 ;23/01/2026;15/01/2036;117;3;5;INPC;CAPITAL GIRO;RESTAURANTE, CAFETERIA, BAR E SIMILARES;MICROEMPRESA;5611201;RESTAURANTES E SIMILARES
AGENCIA DE FOMENTO DO ESTADO DO RIO DE JANEIRO S. A.;24933666000160;KEIL COMERCIO DE ALIMENTOS LTDA;RJ;PETRÓPOLIS; R$ 150.000,00 ;02/01/2026;06/01/2031;60;6;5;INPC;CAPITAL GIRO;RESTAURANTE, CAFETERIA, BAR E SIMILARES;PEQUENA_EMPRESA;5611203;LANCHONETES, CASAS DE CHÁ, DE SUCOS E SIMILARES
AGENCIA DE FOMENTO DO ESTADO DO TOCANTINS S.A.;44176761000174;F B BRANDAO  LTDA;TO;PALMAS; R$ 52.876,48 ;12/01/2026;12/11/2029;42;6;5;INPC;CAPITAL GIRO;RESTAURANTE, CAFETERIA, BAR E SIMILARES;PEQUENA_EMPRESA;5611203;LANCHONETES, CASAS DE CHÁ, DE SUCOS E SIMILARES
AGENCIA DE FOMENTO DO ESTADO DO TOCANTINS S.A.;56999599000173;56.999.599 WALDIR ANTUNES;TO;PALMAS; R$ 21.231,43 ;22/01/2026;22/12/2028;30;6;5;INPC;CAPITAL GIRO;RESTAURANTE, CAFETERIA, BAR E SIMILARES;MICROEMPRESA;5611203;LANCHONETES, CASAS DE CHÁ, DE SUCOS E SIMILARES
BANCO DE DESENVOLVIMENTO DE MINAS GERAIS S.A. - BDMG;47917569000180;DCASA CAFE LTDA;MG;POUSO ALEGRE; R$ 32.479,00 ;23/01/2026;09/01/2030;48;;5;INPC;CAPITAL GIRO;RESTAURANTE, CAFETERIA, BAR E SIMILARES;PEQUENA_EMPRESA;5611203;LANCHONETES, CASAS DE CHÁ, DE SUCOS E SIMILARES
BANCO DE DESENVOLVIMENTO DE MINAS GERAIS S.A. - BDMG;41088284000105;GERA LANCHES LTDA;MG;JAPARAÍBA; R$ 15.650,00 ;22/01/2026;15/01/2030;48;;5;INPC;CAPITAL GIRO;RESTAURANTE, CAFETERIA, BAR E SIMILARES;PEQUENA_EMPRESA;5611203;LANCHONETES, CASAS DE CHÁ, DE SUCOS E SIMILARES
BANCO DE DESENVOLVIMENTO DE MINAS GERAIS S.A. - BDMG;22241561000115;LALA DOCES GOURMET LTDA;MG;COROMANDEL; R$ 12.481,00 ;16/01/2026;09/01/2030;48;;5;INPC;CAPITAL GIRO;RESTAURANTE, CAFETERIA, BAR E SIMILARES;PEQUENA_EMPRESA;5611203;LANCHONETES, CASAS DE CHÁ, DE SUCOS E SIMILARES
BANCO DE DESENVOLVIMENTO DE MINAS GERAIS S.A. - BDMG;37298573000153;PASTELARIA RODRIGUES E CESARIO LTDA;MG;UBERABA; R$ 39.517,00 ;30/01/2026;21/01/2030;48;;5;INPC;CAPITAL GIRO;RESTAURANTE, CAFETERIA, BAR E SIMILARES;PEQUENA_EMPRESA;5611203;LANCHONETES, CASAS DE CHÁ, DE SUCOS E SIMILARES
BANCO DE DESENVOLVIMENTO DO ESPIRITO SANTO S/A;42846895000120;ALVES E BONALDI COMERCIO LTDA;ES;SERRA; R$ 310.000,00 ;22/01/2026;22/01/2032;72;12;5;INPC;CAPITAL GIRO;RESTAURANTE, CAFETERIA, BAR E SIMILARES;PEQUENA_EMPRESA;5611203;LANCHONETES, CASAS DE CHÁ, DE SUCOS E SIMILARES
COOPERATIVA CENTRAL DE CREDITO COM INTERACAO SOLIDARIA - CENTRAL CRESOL BASER;29079694000186;CAFE COM VIDA LTDA;PR;PATO BRANCO; R$ 50.000,00 ;27/01/2026;15/04/2031;60;2;5;INPC;CAPITAL GIRO;RESTAURANTE, CAFETERIA, BAR E SIMILARES;MICROEMPRESA;5611203;LANCHONETES, CASAS DE CHÁ, DE SUCOS E SIMILARES
COOPERATIVA CENTRAL DE CREDITO COM INTERACAO SOLIDARIA - CENTRAL CRESOL BASER;39807962000192;ARABEL'S COFFEE LTDA;MG;EUGENÓPOLIS; R$ 100.000,00 ;23/01/2026;15/08/2030;54;;5;INPC;CAPITAL GIRO;RESTAURANTE, CAFETERIA, BAR E SIMILARES;MICROEMPRESA;5611203;LANCHONETES, CASAS DE CHÁ, DE SUCOS E SIMILARES
COOPERATIVA CENTRAL DE CREDITO COM INTERACAO SOLIDARIA - CENTRAL CRESOL BASER;6191455000118;HAMUD SUPERMERCADO LTDA;PR;LARANJEIRAS DO SUL; R$ 200.000,00 ;20/01/2026;15/02/2029;36;;5;INPC;CAPITAL GIRO;RESTAURANTE, CAFETERIA, BAR E SIMILARES;MEDIA_EMPRESA;5611203;LANCHONETES, CASAS DE CHÁ, DE SUCOS E SIMILARES
COOPERATIVA CENTRAL DE CREDITO COM INTERACAO SOLIDARIA - CENTRAL CRESOL BASER;52266098000127;BARBOSA BURGUER II LTDA;AL;OLHO D'ÁGUA GRANDE; R$ 92.500,00 ;08/01/2026;15/02/2031;60;1;5;INPC;CAPITAL GIRO;RESTAURANTE, CAFETERIA, BAR E SIMILARES;MICROEMPRESA;5611203;LANCHONETES, CASAS DE CHÁ, DE SUCOS E SIMILARES
CRESOL SICOPER - CENTRAL CRESOL SICOPER;16697932000175;RCS URUBICI LANCHERIA LTDA.;SC;URUBICI; R$ 150.000,00 ;09/01/2026;15/04/2032;64;11;5;INPC;CAPITAL GIRO;RESTAURANTE, CAFETERIA, BAR E SIMILARES;PEQUENA_EMPRESA;5611203;LANCHONETES, CASAS DE CHÁ, DE SUCOS E SIMILARES
COOPERATIVA CENTRAL DE CREDITO COM INTERACAO SOLIDARIA - CENTRAL CRESOL BASER;28562041000190;ROUTE 160 CONVENIENCIA E DISTRIBUIDORA LTDA;PR;MARIÓPOLIS; R$ 40.000,00 ;05/01/2026;15/12/2030;54;5;5;INPC;CAPITAL GIRO;RESTAURANTE, CAFETERIA, BAR E SIMILARES;MICROEMPRESA;5611204;BARES E OUTROS ESTABELECIMENTOS ESPECIALIZADOS EM SERVIR BEBIDAS, SEM ENTRETENIMENTO.
AGENCIA DE FOMENTO DO AMAPA S/A;51493452000193;DI CASA CHURRASCARIA LTDA;AP;MACAPÁ; R$ 280.000,00 ;17/01/2026;17/12/2032;84;24;5;INPC;CAPITAL GIRO;PRESTADOR DE INFRAESTRUTURA DE APOIO PARA EVENTOS;PEQUENA_EMPRESA;5620102;SERVIÇOS DE ALIMENTAÇÃO PARA EVENTOS E RECEPÇÕES - BUFÊ
BANCO DE DESENVOLVIMENTO DE MINAS GERAIS S.A. - BDMG;12550898000150;PARRILLA DO PRADO GASTROBAR LTDA;MG;BELO HORIZONTE; R$ 25.000,00 ;23/01/2026;17/01/2030;48;;5;INPC;CAPITAL GIRO;PRESTADOR DE INFRAESTRUTURA DE APOIO PARA EVENTOS;PEQUENA_EMPRESA;5620102;SERVIÇOS DE ALIMENTAÇÃO PARA EVENTOS E RECEPÇÕES - BUFÊ
BANCO DE DESENVOLVIMENTO DE MINAS GERAIS S.A. - BDMG;42346671000159;PIER 198 LTDA;MG;UBERABA; R$ 51.132,00 ;21/01/2026;15/01/2030;48;;5;INPC;CAPITAL GIRO;PRESTADOR DE INFRAESTRUTURA DE APOIO PARA EVENTOS;PEQUENA_EMPRESA;5620102;SERVIÇOS DE ALIMENTAÇÃO PARA EVENTOS E RECEPÇÕES - BUFÊ
AGENCIA DE FOMENTO DO AMAPA S/A;53576458000150;GASPAR & SOUZA LTDA;AP;MACAPÁ; R$ 156.000,00 ;28/02/2026;30/01/2033;84;24;5;INPC;CAPITAL GIRO;PRESTADOR ESPECIALIZADO EM SEGMENTOS TURÍSTICOS;MICROEMPRESA;7020400;ATIVIDADES DE CONSULTORIA EM GESTÃO EMPRESARIAL, EXCETO CONSULTORIA TÉCNICA ESPECÍFICA
CRESOL SICOPER - CENTRAL CRESOL SICOPER;31196248000101;CRISTIANE PAZ RADAELLI ASSESSORIA CONTABIL;RS;TRIUNFO; R$ 55.000,00 ;09/01/2026;15/01/2031;60;;5;INPC;CAPITAL GIRO;PRESTADOR ESPECIALIZADO EM SEGMENTOS TURÍSTICOS;MICROEMPRESA;7020400;ATIVIDADES DE CONSULTORIA EM GESTÃO EMPRESARIAL, EXCETO CONSULTORIA TÉCNICA ESPECÍFICA
AGENCIA DE FOMENTO DO ESTADO DO TOCANTINS S.A.;33687111000177;CATARINA XAVIER LUSTOSA SOUSA  LTDA;TO;SÃO FÉLIX DO TOCANTINS; R$ 52.943,67 ;17/01/2026;17/06/2032;72;6;5;INPC;CAPITAL GIRO;PRESTADOR DE INFRAESTRUTURA DE APOIO PARA EVENTOS;PEQUENA_EMPRESA;7721700;ALUGUEL DE EQUIPAMENTOS RECREATIVOS E ESPORTIVOS
BANCO DE DESENVOLVIMENTO DE MINAS GERAIS S.A. - BDMG;37052392000142;ZUREPRINT COMERCIO LOCACAO E SERVICOS LTDA;MG;UBERLÂNDIA; R$ 250.000,00 ;29/01/2026;15/01/2030;48;;5;INPC;CAPITAL GIRO;PRESTADOR DE INFRAESTRUTURA DE APOIO PARA EVENTOS;PEQUENA_EMPRESA;7733100;ALUGUEL DE MÁQUINAS E EQUIPAMENTOS PARA ESCRITÓRIOS
AGENCIA DE FOMENTO DO AMAPA S/A;55259970000106;A. C. F. DE OLIVEIRA LTDA;AP;MACAPÁ; R$ 400.000,00 ;17/01/2026;17/12/2035;120;24;5;INPC;CAPITAL GIRO;AGÊNCIA DE TURISMO;MICROEMPRESA;7911200;AGÊNCIAS DE VIAGEM
AGENCIA DE FOMENTO DO ESTADO DO TOCANTINS S.A.;15990856000129;POUSADA SERRA DO SOL LTDA;TO;NOVO ACORDO; R$ 15.862,95 ;12/01/2026;12/12/2029;42;6;5;INPC;CAPITAL GIRO;AGÊNCIA DE TURISMO;GRANDE_EMPRESA;7911200;AGÊNCIAS DE VIAGEM
AGENCIA DE FOMENTO DO ESTADO DO TOCANTINS S.A.;48407681000133;48.407.681 EDUAN DE LARA DEFANTE;TO;PALMAS; R$ 20.833,33 ;12/01/2026;12/01/2028;21;6;5;INPC;CAPITAL GIRO;AGÊNCIA DE TURISMO;MICROEMPRESA;7911200;AGÊNCIAS DE VIAGEM
AGENCIA DE FOMENTO DO ESTADO DO TOCANTINS S.A.;20043874000133;DOUGLAS DAMASCENO PIMENTA 03741939161;TO;PONTE ALTA DO TOCANTINS; R$ 20.833,33 ;17/01/2026;17/12/2029;42;6;5;INPC;CAPITAL GIRO;AGÊNCIA DE TURISMO;MICROEMPRESA;7911200;AGÊNCIAS DE VIAGEM
AGENCIA DE FOMENTO DO ESTADO DO TOCANTINS S.A.;41773980000142;41.773.980 WALISON DOS SANTOS BEZERRA;TO;PALMAS; R$ 15.625,00 ;23/01/2026;23/04/2028;22;6;5;INPC;CAPITAL GIRO;AGÊNCIA DE TURISMO;MICROEMPRESA;7911200;AGÊNCIAS DE VIAGEM
BANCO DA AMAZONIA SA;31467563000118;VASCONCELOS NAVEGACOES LTDA;RO;PORTO VELHO; R$ 200.000,00 ;22/01/2026;10/01/2030;48;4;5;INPC;CAPITAL GIRO;AGÊNCIA DE TURISMO;PEQUENA_EMPRESA;7911200;AGÊNCIAS DE VIAGEM
BANCO DE DESENVOLVIMENTO DE MINAS GERAIS S.A. - BDMG;25268549000192;MR AGENCIA DE VIAGENS E TURISMO LTDA - ME;MG;MIRADOURO; R$ 32.888,00 ;27/01/2026;15/01/2030;48;;5;INPC;CAPITAL GIRO;AGÊNCIA DE TURISMO;PEQUENA_EMPRESA;7911200;AGÊNCIAS DE VIAGEM
BANCO DE DESENVOLVIMENTO DE MINAS GERAIS S.A. - BDMG;22606695000192;PFC AGENCIA DE VIAGEM E TURISMO LTDA;MG;UNAÍ; R$ 18.568,00 ;19/01/2026;09/01/2030;48;;5;INPC;CAPITAL GIRO;AGÊNCIA DE TURISMO;MICROEMPRESA;7911200;AGÊNCIAS DE VIAGEM
BANCO MONEO S.A.;9472716000166;JHONITUR TURISMO LTDA;SC;BRUSQUE; R$ 611.100,00 ;23/01/2026;21/01/2031;60;;5;INPC;BEM;AGÊNCIA DE TURISMO;PEQUENA_EMPRESA;7911200;AGÊNCIAS DE VIAGEM
BANCO MONEO S.A.;9335330000102;W M TRANSPORTES LTDA.;ES;SANTA LEOPOLDINA; R$ 658.000,00 ;03/02/2026;21/02/2031;60;;5;INPC;BEM;AGÊNCIA DE TURISMO;MICROEMPRESA;7911200;AGÊNCIAS DE VIAGEM
BANCO MONEO S.A.;1037501000105;EMPRESA DE TRANSPORTES AGUIA DOURADA LTDA.;SE;NOSSA SENHORA DO SOCORRO; R$ 360.000,00 ;06/02/2026;21/01/2031;60;;5;INPC;BEM;AGÊNCIA DE TURISMO;MEDIA_EMPRESA;7911200;AGÊNCIAS DE VIAGEM
BANCO MONEO S.A.;18297033000100;DONEL TRANSPORTES E TURISMO LTDA.;SC;BALNEÁRIO PIÇARRAS; R$ 780.000,00 ;06/02/2026;21/02/2031;60;6;5;INPC;BEM;AGÊNCIA DE TURISMO;PEQUENA_EMPRESA;7911200;AGÊNCIAS DE VIAGEM
BANCO MONEO S.A.;3456707000529;TRANSBRAZ LTDA EPP;BA;PAULO AFONSO; R$ 702.000,00 ;13/02/2026;21/02/2031;60;5;5;INPC;BEM;AGÊNCIA DE TURISMO;MEDIA_EMPRESA;7911200;AGÊNCIAS DE VIAGEM
COOPERATIVA CENTRAL DE CREDITO COM INTERACAO SOLIDARIA - CENTRAL CRESOL BASER;7414845000172;VALDECI KLIMA TRANSPORTES LTDA;PR;ITAPEJARA D'OESTE; R$ 103.000,00 ;29/01/2026;15/12/2030;54;4;5;INPC;CAPITAL GIRO;AGÊNCIA DE TURISMO;PEQUENA_EMPRESA;7911200;AGÊNCIAS DE VIAGEM
COOPERATIVA CENTRAL DE CREDITO COM INTERACAO SOLIDARIA - CENTRAL CRESOL BASER;19238704000125;PIANOVSKI TRANSPORTES E TURISMO LTDA;PR;LAPA; R$ 950.000,00 ;22/01/2026;15/05/2031;60;3;5;INPC;BEM OBRA;AGÊNCIA DE TURISMO;MEDIA_EMPRESA;7911200;AGÊNCIAS DE VIAGEM
COOPERATIVA CENTRAL DE CREDITO COM INTERACAO SOLIDARIA - CENTRAL CRESOL BASER;15812029000145;VEVAL TRANSPORTE RODOVIARIO DE PASSAGEIROS E TURISMO LTDA;PR;JARDIM ALEGRE; R$ 350.000,00 ;09/01/2026;15/02/2031;60;1;5;INPC;CAPITAL GIRO;AGÊNCIA DE TURISMO;MICROEMPRESA;7911200;AGÊNCIAS DE VIAGEM
AGENCIA DE FOMENTO DE GOIAS S/A;43250429000140;43.250.429 WILLIAM VINICIUS DO VALE;GO;GOIÂNIA; R$ 21.380,00 ;06/01/2026;05/02/2031;60;6;5;INPC;CAPITAL GIRO;ORGANIZADORA DE EVENTOS;MICROEMPRESA;8230001;SERVIÇOS DE ORGANIZAÇÃO DE FEIRAS, CONGRESSOS, EXPOSIÇÕES E FESTAS
AGENCIA DE FOMENTO DO AMAPA S/A;52914440000158;52.914.440 SIDNEY DA SILVA SANTOS JUNIOR;AP;MACAPÁ; R$ 20.000,00 ;12/01/2026;12/10/2029;43;3;5;INPC;CAPITAL GIRO;ORGANIZADORA DE EVENTOS;MICROEMPRESA;8230001;SERVIÇOS DE ORGANIZAÇÃO DE FEIRAS, CONGRESSOS, EXPOSIÇÕES E FESTAS
AGENCIA DE FOMENTO DO PARANA S.A.;49451936000128;VINATO.BR VINHOS BRASILEIROS LTDA;PR;CURITIBA; R$ 23.000,00 ;23/01/2026;10/01/2030;45;3;4,88;INPC;CAPITAL GIRO;ORGANIZADORA DE EVENTOS;MICROEMPRESA;8230001;SERVIÇOS DE ORGANIZAÇÃO DE FEIRAS, CONGRESSOS, EXPOSIÇÕES E FESTAS
BANCO DE DESENVOLVIMENTO DE MINAS GERAIS S.A. - BDMG;46038450000174;DOUGLAS CAMPOS COSTA 10416062652;MG;BAMBUÍ; R$ 80.400,00 ;19/01/2026;15/01/2030;48;;5;INPC;CAPITAL GIRO;ORGANIZADORA DE EVENTOS;PEQUENA_EMPRESA;8230001;SERVIÇOS DE ORGANIZAÇÃO DE FEIRAS, CONGRESSOS, EXPOSIÇÕES E FESTAS
BANCO DE DESENVOLVIMENTO DE MINAS GERAIS S.A. - BDMG;22958956000133;EDIMAR JOSE DE GOIS - ME;MG;NOVA SERRANA; R$ 39.905,00 ;20/01/2026;15/01/2030;48;;5;INPC;CAPITAL GIRO;ORGANIZADORA DE EVENTOS;MICROEMPRESA;8230001;SERVIÇOS DE ORGANIZAÇÃO DE FEIRAS, CONGRESSOS, EXPOSIÇÕES E FESTAS
BANCO DE DESENVOLVIMENTO DO ESPIRITO SANTO S/A;17026781000196;ALTO PADRAO FORMATURAS LTDA ME;ES;VILA VELHA; R$ 66.200,00 ;22/01/2026;22/01/2031;60;12;5;INPC;CAPITAL GIRO;ORGANIZADORA DE EVENTOS;MICROEMPRESA;8230001;SERVIÇOS DE ORGANIZAÇÃO DE FEIRAS, CONGRESSOS, EXPOSIÇÕES E FESTAS
COOPERATIVA CENTRAL DE CREDITO COM INTERACAO SOLIDARIA - CENTRAL CRESOL BASER;6044469000109;EMPORIO CASA DE EVENTOS LTDA;PR;TOLEDO; R$ 300.000,00 ;06/01/2026;15/03/2031;60;2;5;INPC;CAPITAL GIRO;ORGANIZADORA DE EVENTOS;PEQUENA_EMPRESA;8230001;SERVIÇOS DE ORGANIZAÇÃO DE FEIRAS, CONGRESSOS, EXPOSIÇÕES E FESTAS
COOPERATIVA CENTRAL DE CREDITO COM INTERACAO SOLIDARIA - CENTRAL CRESOL BASER;44647314000156;FARMACIA PITANGA LTDA;PR;PITANGA; R$ 300.000,00 ;05/01/2026;15/10/2030;48;9;5;INPC;CAPITAL GIRO;ORGANIZADORA DE EVENTOS;MEDIA_EMPRESA;8230001;SERVIÇOS DE ORGANIZAÇÃO DE FEIRAS, CONGRESSOS, EXPOSIÇÕES E FESTAS
CRESOL BRASIL - CRESOL CENTRAL BRASIL;50101884000149;50.101.884 KARINA BRAZ JUNKES;SC;ARMAZÉM; R$ 33.200,00 ;13/01/2026;15/04/2029;36;3;5;INPC;CAPITAL GIRO;ORGANIZADORA DE EVENTOS;MICROEMPREENDEDOR_INDIVIDUAL;8230001;SERVIÇOS DE ORGANIZAÇÃO DE FEIRAS, CONGRESSOS, EXPOSIÇÕES E FESTAS
CRESOL SICOPER - CENTRAL CRESOL SICOPER;15763068000108;CAFE ALBRECHT LTDA;RS;PORTO ALEGRE; R$ 89.984,87 ;30/01/2026;15/03/2031;60;1;5;INPC;CAPITAL GIRO;ORGANIZADORA DE EVENTOS;MICROEMPRESA;8230001;SERVIÇOS DE ORGANIZAÇÃO DE FEIRAS, CONGRESSOS, EXPOSIÇÕES E FESTAS
CRESOL SICOPER - CENTRAL CRESOL SICOPER;26212957000195;VITTO INDUSTRIA DE COSMETICOS LTDA;RS;ENCANTADO; R$ 300.000,00 ;23/01/2026;15/02/2036;108;13;5;INPC;CAPITAL GIRO;ORGANIZADORA DE EVENTOS;PEQUENA_EMPRESA;8230001;SERVIÇOS DE ORGANIZAÇÃO DE FEIRAS, CONGRESSOS, EXPOSIÇÕES E FESTAS
AGENCIA DE FOMENTO DO ESTADO DO RIO DE JANEIRO S. A.;46154827000150;FLORIPIO GASTRONOMIA LTDA;RJ;PETRÓPOLIS; R$ 74.400,00 ;12/01/2026;05/02/2031;60;2;5;INPC;CAPITAL GIRO;CASA DE ESPETÁCULOS E EQUIPAMENTO DE ANIMAÇÃO TURÍSTICA;PEQUENA_EMPRESA;8230002;CASAS DE FESTAS E EVENTOS
AGENCIA DE FOMENTO DO ESTADO DO TOCANTINS S.A.;31404716000188;31.404.716 ANA PAULA SILVA VARGAS;TO;PEDRO AFONSO; R$ 13.960,48 ;22/01/2026;22/12/2028;30;6;5;INPC;CAPITAL GIRO;CASA DE ESPETÁCULOS E EQUIPAMENTO DE ANIMAÇÃO TURÍSTICA;MICROEMPRESA;8230002;CASAS DE FESTAS E EVENTOS
COOPERATIVA CENTRAL DE CREDITO COM INTERACAO SOLIDARIA - CENTRAL CRESOL BASER;44317729000161;RANCHO GUT BELLA LTDA;RO;CACOAL; R$ 209.935,71 ;16/01/2026;15/12/2031;60;11;5;INPC;CAPITAL GIRO;CASA DE ESPETÁCULOS E EQUIPAMENTO DE ANIMAÇÃO TURÍSTICA;MICROEMPRESA;8230002;CASAS DE FESTAS E EVENTOS
COOPERATIVA CENTRAL DE CREDITO COM INTERACAO SOLIDARIA - CENTRAL CRESOL BASER;53749699000153;53.749.699 ROSELI PEREIRA DE PAULA RODRIGUES;PR;NOVA TEBAS; R$ 12.000,00 ;21/01/2026;15/12/2030;57;1;5;INPC;CAPITAL GIRO;CASA DE ESPETÁCULOS E EQUIPAMENTO DE ANIMAÇÃO TURÍSTICA;MICROEMPRESA;8230002;CASAS DE FESTAS E EVENTOS
AGENCIA DE FOMENTO DE GOIAS S/A;63638588000123;ARENA DO CERRADO GESTAO ESPORTIVA E LAZER LTDA;GO;GOIÂNIA; R$ 51.020,00 ;12/01/2026;05/02/2031;60;12;5;INPC;CAPITAL GIRO;PRESTADOR ESPECIALIZADO EM SEGMENTOS TURÍSTICOS;PEQUENA_EMPRESA;9311500;GESTÃO DE INSTALAÇÕES DE ESPORTES
AGENCIA DE FOMENTO DE GOIAS S/A;17664809000110;MARCK IMPORTACAO E DISTRIBUICAO LTDA;GO;GOIÂNIA; R$ 100.000,00 ;16/01/2026;05/02/2031;60;12;5;INPC;CAPITAL GIRO;ORGANIZADORA DE EVENTOS;MICROEMPRESA;9319101;PRODUÇÃO E PROMOÇÃO DE EVENTOS ESPORTIVOS
COOPERATIVA CENTRAL DE CREDITO COM INTERACAO SOLIDARIA - CENTRAL CRESOL BASER;19440377000190;ACADEMIA MMAIS LTDA;PR;FRANCISCO BELTRÃO; R$ 350.000,00 ;08/01/2026;15/11/2032;60;22;5;INPC;CAPITAL GIRO;ORGANIZADORA DE EVENTOS;PEQUENA_EMPRESA;9319101;PRODUÇÃO E PROMOÇÃO DE EVENTOS ESPORTIVOS
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
